"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\consts.js", "JavaScript JSX", 2, 0, 1, 3
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\main.js", "JavaScript JSX", 6, 7, 2, 15
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.control_levels_consts.js", "JavaScript JSX", 15, 0, 0, 15
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.plan_next_creep.js", "JavaScript JSX", 3, 0, 0, 3
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.plan_next_structure.js", "JavaScript JSX", 4, 0, 0, 4
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\planning.priority.js", "JavaScript JSX", 1, 0, 0, 1
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.charter.js", "JavaScript JSX", 77, 0, 4, 81
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.harvester.js", "JavaScript JSX", 1, 0, 0, 1
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.renewing.js", "JavaScript JSX", 13, 0, 0, 13
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.repairer.js", "JavaScript JSX", 11, 0, 0, 11
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.role_base.js", "JavaScript JSX", 4, 0, 0, 4
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.role_map.js", "JavaScript JSX", 2, 0, 0, 2
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\roles.waiting.js", "JavaScript JSX", 16, 0, 5, 21
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.find_exploration_candidates.js", "JavaScript JSX", 36, 6, 3, 45
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.has_blocked_neighbor.js", "JavaScript JSX", 8, 2, 2, 12
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.road_planner.js", "JavaScript JSX", 15, 11, 7, 33
"c:\Users\Killian\AppData\Local\Screeps\scripts\screeps.com\default\utilities.waste_collection.js", "JavaScript JSX", 8, 0, 0, 8
"Total", "-", 222, 26, 24, 272
